,lat,lon
0,60.24434,18.3483329
1,60.2432515,18.3473868
2,60.2418914,18.3091945
3,60.2417617,18.309694
4,60.2406402,18.3220088
5,60.2403839,18.3235359
6,60.2365464,17.4594866
7,60.2360528,17.4587815
8,60.2325522,18.2819034
9,60.2324944,18.2826787
10,60.2293508,17.7305432
11,60.229325,17.7304561
12,60.2269507,17.4641808
13,60.226166,17.465462
14,60.2250288,17.7341585
15,60.224905,17.7341018
16,60.2216132,17.4689417
17,60.2213166,17.7029854
18,60.2202755,18.2245543
19,60.2200957,18.2227127
20,60.2187216,17.4726615
21,60.218196,17.4736853
22,60.2173934,17.7028553
23,60.2172012,17.7029778
24,60.215135,17.4768433
25,60.2139737,17.4775618
26,60.2125304,17.4794874
27,60.211962,17.4796084
28,60.2035193,17.7007071
29,60.2031954,17.7006697
30,60.2004994,17.4817827
31,60.20007,17.4814405
32,60.199317,17.6993439
33,60.1991325,17.6988424
34,60.1913027,17.4788948
35,60.1904279,17.4783376
36,60.1851374,17.6703107
37,60.1849601,17.6702322
38,60.1814711,17.4796848
39,60.1811146,17.4796272
40,60.1771007,17.6530586
41,60.1767979,17.6544811
42,60.1751471,17.4844323
43,60.1748383,17.4852534
44,60.1740492,17.8494412
45,60.1737936,17.8490626
46,60.1729706,17.6142914
47,60.1719547,17.6133938
48,60.1666145,17.1928879
49,60.1659631,17.8435333
50,60.1658433,17.8437505
51,60.1656631,17.1944919
52,60.1635997,17.6038904
53,60.1630695,17.6031799
54,60.1599425,17.8381366
55,60.1592873,17.8374436
56,60.1586559,17.2053535
57,60.1575797,17.204922
58,60.1575535,18.1909174
59,60.1566437,18.1893621
60,60.1534453,17.4919398
61,60.1528728,17.4918897
62,60.1522243,17.2014258
63,60.1512701,17.2002165
64,60.1509271,18.1802241
65,60.1505536,17.8295034
66,60.1505046,17.8298279
67,60.1503819,18.1782267
68,60.1463386,18.1667904
69,60.1463088,17.2015842
70,60.1453772,18.1634764
71,60.1453236,17.2026927
72,60.1429721,17.8207143
73,60.1424123,17.819813
74,60.1421067,17.5037926
75,60.1417224,17.5035961
76,60.1388713,18.1533142
77,60.1388067,18.1535841
78,60.1355706,17.8148129
79,60.1349722,17.8151424
80,60.1306355,18.1452778
81,60.130433,18.1456458
82,60.1296292,17.8136818
83,60.1291225,17.8130685
84,60.1235319,17.2213825
85,60.1228565,17.2207467
86,60.1211602,18.1485349
87,60.1187853,17.7968978
88,60.1179504,17.7956823
89,60.1170381,18.1372143
90,60.1068316,18.1249282
91,60.1060753,17.7788089
92,60.1052508,17.777887
93,60.0924663,18.1222508
94,60.0924073,18.1218514
95,60.0909922,17.5547357
96,60.0907701,17.1891821
97,60.0900867,17.7702292
98,60.089963,17.5543089
99,60.0898293,17.1891679
100,60.0892559,17.7695956
101,60.0876195,17.1902245
102,60.0875782,17.1899786
103,60.0819257,17.1922201
104,60.0819194,18.115681
105,60.0819173,17.7619003
106,60.0817359,17.7621868
107,60.0815711,18.1147993
108,60.0807813,17.192479
109,60.0772145,17.198944
110,60.0771361,17.1995325
111,60.0765066,17.6348514
112,60.0761176,18.1044846
113,60.0753022,18.102321
114,60.0752774,17.7453555
115,60.0749201,17.746155
116,60.0737946,17.7589784
117,60.0728191,17.7581686
118,60.0719197,18.095416
119,60.0717364,18.0955913
120,60.0686418,17.2172232
121,60.0677809,17.217464
122,60.0676238,17.7573577
123,60.0665838,17.5960819
124,60.066384,17.7568121
125,60.0634698,17.220395
126,60.0626202,17.2205463
127,60.0567229,17.5468586
128,60.0551228,17.5972313
129,60.0550713,17.5469534
130,60.0511016,18.0535543
131,60.0502989,17.7511666
132,60.0498036,18.0510619
133,60.0474781,18.0479282
134,60.0470451,18.0470006
135,60.0432931,18.0435193
136,60.0410703,18.041698
137,60.040443,17.6089927
138,60.0396272,17.5503518
139,60.0366808,17.7499348
140,60.0360953,17.6043076
141,60.0329192,18.0225944
142,60.0326498,18.0209178
143,60.0325012,17.6013156
144,60.0284441,18.0054481
145,60.0279208,17.5499657
146,60.027919,18.0042119
147,60.0253598,17.9964198
148,60.0247498,17.9943148
149,60.0232691,17.5538908
150,60.0219792,17.9882792
151,60.0218166,17.9875207
152,60.0192713,17.5557008
153,60.0177349,18.3566347
154,60.017709,18.354843
155,60.0170172,17.9792764
156,60.0168744,17.9786344
157,60.0167542,17.580858
158,60.0146372,17.7331151
159,60.0146091,17.732723
160,60.0134032,17.9740954
161,60.0131793,17.973454
162,60.0128979,17.5591
163,60.0121397,17.5589865
164,60.0110973,17.7327606
165,60.0102513,17.7315654
166,60.0100325,17.5603917
167,60.0091965,17.5602992
168,60.0071288,17.7302394
169,60.0063647,17.7305897
170,60.0053363,17.9652806
171,60.004235,17.9637417
172,60.0023414,17.563941
173,60.0015262,17.5638611
174,60.0013042,17.304927
175,60.00074,17.3060686
176,60.0006833,17.7184619
177,60.0006599,17.7188472
178,59.993558,17.9539824
179,59.9927742,17.5682781
180,59.992524,17.9526619
181,59.9918338,17.5680792
182,59.9904606,18.2693632
183,59.9901406,18.2672888
184,59.9881628,17.7085208
185,59.9877521,17.5930061
186,59.9875701,17.7080056
187,59.986102,17.571343
188,59.9852279,17.5715507
189,59.9848499,17.9460392
190,59.983885,17.9446909
191,59.9809933,17.9419429
192,59.9803773,17.9410707
193,59.9802554,17.3395254
194,59.9793335,17.341573
195,59.9792738,17.5955624
196,59.9782699,17.7047882
197,59.9779432,17.3469827
198,59.9776272,17.5759763
199,59.9774403,17.7036005
200,59.9771005,17.5758917
201,59.9770529,17.3494513
202,59.9727013,17.9350409
203,59.9720898,17.9339402
204,59.9702618,17.3702792
205,59.9694043,17.3724958
206,59.9675501,17.6883898
207,59.9669138,17.6864829
208,59.9667192,17.3808595
209,59.9657216,17.3829878
210,59.9630767,17.6024703
211,59.9628324,17.6024387
212,59.9625568,17.9136436
213,59.9624351,17.9130011
214,59.9615849,17.3925808
215,59.9607063,17.3937853
216,59.9606853,18.0928262
217,59.9602238,18.0902394
218,59.958572,17.6696584
219,59.958118,17.695172
220,59.957725,17.693547
221,59.9574497,18.0780996
222,59.9574416,18.0787189
223,59.9574094,17.6685776
224,59.9570226,17.4005892
225,59.955886,17.4019678
226,59.9549257,17.900309
227,59.9545408,17.6812631
228,59.9539661,17.8501236
229,59.9537711,17.8505074
230,59.9533493,17.8394106
231,59.9530632,17.8372382
