,lat,lon
0,60.1814853,17.1794491
1,60.1002134,18.8085221
2,60.0603315,18.0834436
3,60.0499211,18.5967959
4,59.8866468,17.1946167
5,59.8779381,17.6189286
6,59.8743267,17.6433979
7,59.8686488,17.6147944
8,59.8670984,17.6333328
9,59.8664932,17.6490305
10,59.863668,17.6586774
11,59.8614738,17.6177636
12,59.8609689,17.6359824
13,59.860512,17.6452319
14,59.8555951,17.6162075
15,59.8538512,17.5642697
16,59.8522814,17.5891868
17,59.8511846,17.6900632
18,59.8481299,17.6061145
19,59.8207027,17.6974593
20,59.810428,18.894215
21,59.7973389,17.4436442
22,59.7767702,16.9288536
23,59.7677706,18.6967433
24,59.7595032,18.7118078
25,59.7360269,17.3104025
26,59.7254896,17.2915524
27,59.6371702,18.6533097
28,59.6283333,17.8583152
29,59.6226478,17.7531019
30,59.5770461,17.513276
31,59.5769866,17.5117595
32,59.5356659,18.0788854
33,59.5328211,18.084561
34,59.5215398,17.9039459
35,59.5208099,17.9047393
36,59.5205443,17.8947917
37,59.5197956,17.893497
38,59.5126035,17.650889
39,59.5120064,17.6360859
40,59.4925485,18.0644865
41,59.4852251,17.9287193
42,59.4817852,17.9177592
43,59.4811047,18.2983075
44,59.4797139,17.7327455
45,59.4759897,17.9024307
46,59.4726779,17.7940939
47,59.457453,17.8165136
48,59.4567793,18.0844505
49,59.4503275,18.1204461
50,59.4473849,18.0970099
51,59.4457182,17.9653334
52,59.4450315,17.9740459
53,59.4443342,18.0326804
54,59.4402945,18.0584884
55,59.4314813,17.9429405
56,59.430966,17.9992337
57,59.429999,17.817412
58,59.4274194,17.953333
59,59.4269274,18.0843949
60,59.4236237,17.8221578
61,59.4225085,17.8351881
62,59.421931,17.8192148
63,59.4204733,17.8611581
64,59.4180258,17.8353709
65,59.408712,17.9395044
66,59.406492,17.844282
67,59.4025381,17.8695168
68,59.400175,17.8629198
69,59.400138,17.862968
70,59.3864969,17.8370097
71,59.386434,17.837087
72,59.3828816,17.8690844
73,59.3828674,18.0288108
74,59.3816276,17.9116923
75,59.3813075,17.9944373
76,59.3811512,18.0050403
77,59.3808596,17.8996508
78,59.3803304,17.8159808
79,59.3794635,18.0380916
80,59.3786939,18.0299074
81,59.3773212,17.0323435
82,59.3768863,17.0266009
83,59.3764828,17.0356445
84,59.3753422,17.0285724
85,59.3753272,17.9405953
86,59.3734071,18.1436232
87,59.371266,18.0163123
88,59.3685279,17.9796848
89,59.3677461,17.9813642
90,59.3675789,17.9006942
91,59.3671743,17.8434047
92,59.365664,17.963222
93,59.365223,17.98114
94,59.3651565,17.9958403
95,59.3651247,18.1231293
96,59.3650209,17.9682408
97,59.3643667,17.9945159
98,59.364268,17.966573
99,59.3641301,17.9775863
100,59.3640507,18.0120055
101,59.3640194,18.150776
102,59.3639121,17.9770593
103,59.3637214,17.94645
104,59.3636737,17.9970878
105,59.3630333,17.9764359
106,59.3630153,18.0006063
107,59.3602148,18.0010087
108,59.3565384,17.9713435
109,59.3563838,17.9106348
110,59.3545132,18.0003928
111,59.35344,17.996726
112,59.3501406,17.9858578
113,59.350031,17.9907472
114,59.3494391,18.0435863
115,59.3493556,18.0587555
116,59.3486252,18.0488114
117,59.3484963,18.2038316
118,59.3478362,18.0039138
119,59.347335,18.0669831
120,59.3466991,17.892908
121,59.3466742,18.0993817
122,59.3466667,18.0688541
123,59.3460945,18.0997042
124,59.3459522,18.0600598
125,59.3457197,18.1089639
126,59.3456298,18.0604381
127,59.3450115,18.0576866
128,59.3449589,17.9602257
129,59.344481,18.0352388
130,59.3444558,18.0527031
131,59.3442992,18.0574191
132,59.3437233,18.0433915
133,59.3433761,18.1736937
134,59.343244,18.0477082
135,59.3431772,18.039206
136,59.3431351,18.0787214
137,59.3427856,18.0938898
138,59.3424058,18.039534
139,59.3423766,18.0654678
140,59.3422197,18.0406565
141,59.3420397,18.0971533
142,59.3419788,18.0918665
143,59.341691,17.9057398
144,59.3415369,18.0588217
145,59.341017,18.0919268
146,59.3409414,18.0331065
147,59.3402093,18.0473995
148,59.3401626,18.0767902
149,59.3400759,18.0340449
150,59.3398422,18.0627767
151,59.3388904,18.0363886
152,59.3387354,17.9407566
153,59.3382634,18.0379147
154,59.338202,17.9806152
155,59.3374209,18.0621459
156,59.3373091,18.0675205
157,59.336766,17.9391641
